line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
691;beh;Biali;Biali language;regular;nic-eov;Eastern Oti-Volta;;;;Latn;Berba,Bieri;
692;bei;Bekati';Bekati' language;regular;day;Land Dayak;;;;Latn;;
693;bej;Beja;Beja language;regular;cus;Cushitic;;;;Arab,Latn;;
694;bek;Bebeli;Bebeli language;regular;poz-ocw;Western Oceanic;;;;Latn;;
695;bem;Bemba;Bemba language;regular;bnt-sbi;Sabi;;;;Latn;;
696;beo;Beami;Beami language;regular;paa;Papuan;;;;Latn;Bedamini,Bedamuni,Mougulu;
697;bep;Besoa;Besoa language;regular;poz-kal;Kaili-Pamona;;;;Latn;;
698;beq;Beembe;Beembe language;regular;bnt-kng;Kongo;;;;Latn;Bembe,Kibeembe;
699;ber-fog;Fogaha;Fogaha language;regular;ber;Berber;;;exceptional;Latn;El-Fogaha,El-Foqaha,Foqaha,Fuqaha;
700;ber-pro;Proto-Berber;Proto-Berber language;reconstructed;ber;Berber;;;exceptional;Latn;;
701;ber-zuw;Zuwara;Zuwara language;regular;ber;Berber;;;exceptional;Latn;;
702;bes;Besme;Besme language;regular;alv-kim;Kim;;;;Latn;;
703;bet;Guiberoua Bété;Guiberoua Bété language;regular;kro-bet;Bété;;;;Latn;Bété of Guiberoua,Western Bété;
704;beu;Blagar;Blagar language;regular;ngf;Trans-New Guinea;;;;Latn;;
705;bev;Daloa Bété;Daloa Bété language;regular;kro-bet;Bété;;;;Latn;Bété of Daloa,Northern Bété;
706;bew;Betawi;Betawi language;regular;crp;creole or pidgin;;;;Latn;;
707;bex;Jur Modo;Jur Modo language;regular;csu-bbk;Bongo-Baka;;;;Latn;;
708;bey;Akuwagel;Akuwagel language;regular;qfa-tor;Torricelli;;;;Latn;Beli,Beli (New Guinea),Beli (Papua New Guinea);
709;bez;Kibena;Kibena language;regular;bnt-bki;Bena-Kinga;;;;Latn;Bena,Bena (Tanzania);
710;bfa;Bari;Bari language;regular;sdv-bri;Bari;;;;Latn;Pojulu,Pöjulu,Fadjulu,Fajelu,Madi,Pajulu;
711;bfb;Pauri Bareli;Pauri Bareli language;regular;inc-bhi;Bhil;;;;Deva;;
712;bfc;Northern Bai;Northern Bai language;regular;zhx-gba;Greater Bai;sortkey;;;Hani,Latn;Bijiang Bai,Laemae,Lama,Panyi Bai;
713;bfd;Bafut;Bafut language;regular;nic-nge;Ngemba;;;;Latn;;
714;bfe;Betaf;Betaf language;regular;paa-tkw;Tor-Kwerba;;;;Latn;;
715;bff;Bofi;Bofi language;regular;alv-gbf;Eastern Gbaya;;;;Latn;;
716;bfg;Busang Kayan;Busang Kayan language;regular;poz;Malayo-Polynesian;;;;Latn;;
717;bfh;Blafe;Blafe language;regular;paa;Papuan;;;;Latn;;
718;bfi;British Sign Language;British Sign Language;regular;sgn;sign;;;;Latn;;
719;bfj;Bafanji;Bafanji language;regular;nic-nun;Nun;;;;Latn;;
720;bfk;Ban Khor Sign Language;Ban Khor Sign Language;regular;sgn;sign;;;;;;
721;bfl;Banda-Ndélé;Banda-Ndélé language;regular;bad-cnt;Central Banda;;;;Latn;;
722;bfm;Mmen;Mmen language;regular;nic-rnc;Central Ring;;;;Latn;;
723;bfn;Bunak;Bunak language;regular;ngf;Trans-New Guinea;;;;Latn;;
724;bfo;Malba Birifor;Malba Birifor language;regular;nic-mre;Moré;;;;Latn;;
725;bfp;Beba;Beba language;regular;nic-nge;Ngemba;;;;Latn;;
726;bfq;Badaga;Badaga language;regular;dra-kan;Kannadoid;;;;Knda;;
727;bfr;Bazigar;Bazigar language;regular;inc;Indo-Aryan;;;;;;
728;bfs;Southern Bai;Southern Bai language;regular;zhx-gba;Greater Bai;sortkey;;;Hani,Latn;Dali Bai;
729;bft;Balti;Balti language;regular;sit-lab;Ladakhi-Balti;sortkey;autodetect;;fa-Arab,Deva,Tibt;;
730;bfu;Gahri;Gahri language;regular;sit-whm;West Himalayish;sortkey;autodetect;;Takr,Tibt;;
731;bfw;Bondo;Bondo language;regular;mun;Munda;;;;Orya;Remo;
732;bfx;Bantayanon;Bantayanon language;regular;phi;Philippine;;;;Latn;;
733;bfy;Bagheli;Bagheli language;regular;inc-hie;Eastern Hindi;;;;Deva;;
734;bfz;Mahasu Pahari;Mahasu Pahari language;regular;him;Western Pahari;;;;Deva;;
735;bg;Bulgarian;Bulgarian language;regular;zls;South Slavic;;autodetect;;Cyrl;;standard characters
736;bga;Gwamhi-Wuri;Gwamhi-Wuri language;regular;nic-knn;Northwest Kainji;;;;Latn;Wurə-Gwamhyə-Mba,Lyase;
737;bgb;Bobongko;Bobongko language;regular;poz-slb;Saluan-Banggai;;;;Latn;;
738;bgc;Haryanvi;Haryanvi language;regular;inc-cen;Central Indo-Aryan;;;;Deva;;
739;bgd;Rathwi Bareli;Rathwi Bareli language;regular;inc-bhi;Bhil;;;;Deva;;
740;bge;Bauria;Bauria language;regular;inc-bhi;Bhil;;;;Deva;;
741;bgf;Bangandu;Bangandu language;regular;alv-gbs;Southern Gbaya;;;;Latn;;
742;bgg;Bugun;Bugun language;regular;sit-khb;Kho-Bwa;;;;Latn;;
743;bgi;Giangan;Giangan language;regular;phi;Philippine;;;;Latn;;
744;bgj;Bangolan;Bangolan language;regular;nic-nun;Nun;;;;Latn;;
745;bgk;Bit;Bit language;regular;mkh-pal;Palaungic;;;;Latn;;
746;bgl;Bo;Bo language;regular;mkh-vie;Vietic;;;;;;
747;bgo;Baga Koga;Baga Koga language;regular;alv-bag;Baga;;;;Latn;;
748;bgq;Bagri;Bagri language;regular;inc-wes;Western Indo-Aryan;;;;Deva;;
749;bgr;Bawm Chin;Bawm Chin language;regular;tbq-kuk;Kukish;;;;Latn;Bawm,Banjogi;
750;bgs;Tagabawa;Tagabawa language;regular;mno;Manobo;;;;Latn;;
751;bgt;Bughotu;Bughotu language;regular;poz-sls;Southeast Solomonic;;;;Latn;;
752;bgu;Mbongno;Mbongno language;regular;nic-mmb;Mambiloid;;;;Latn;;
753;bgv;Warkay-Bipim;Warkay-Bipim language;regular;ngf;Trans-New Guinea;;;;Latn;;
754;bgw;Bhatri;Bhatri language;regular;inc-eas;Eastern Indo-Aryan;;;;Deva;;
755;bgx;Balkan Gagauz Turkish;Balkan Gagauz Turkish language;regular;trk-ogz;Oghuz;;;;Latn;;
756;bgy;Benggoi;Benggoi language;regular;poz-cma;Central Maluku;;;;Latn;;
757;bgz;Banggai;Banggai language;regular;poz-slb;Saluan-Banggai;;;;Latn;;
758;bh;Bihari;Bihari language;regular;inc-eas;Eastern Indo-Aryan;;;;Deva;;
759;bha;Bharia;Bharia language;regular;inc;Indo-Aryan;;;;Deva;;
760;bhb;Bhili;Bhili language;regular;inc-bhi;Bhil;;;;Deva;;
761;bhc;Biga;Biga language;regular;poz-hce;Halmahera-Cenderawasih;;;;Latn;;
762;bhd;Bhadrawahi;Bhadrawahi language;regular;him;Western Pahari;;;;Arab,Deva;;
763;bhe;Bhaya;Bhaya language;regular;inc-wes;Western Indo-Aryan;;;;;;
764;bhf;Odiai;Odiai language;regular;paa-kwm;Kwomtari;;;;Latn;;
765;bhg;Binandere;Binandere language;regular;ngf;Trans-New Guinea;;;;Latn;;
766;bhh;Bukhari;Bukhari language;regular;ira-swi;Southwestern Iranian;;;;Cyrl,Hebr,Latn,fa-Arab;;
767;bhi;Bhilali;Bhilali language;regular;inc-bhi;Bhil;;;;Deva;;
768;bhj;Bahing;Bahing language;regular;sit-kiw;Western Kiranti;;;;Deva,Latn;;
769;bhl;Bimin;Bimin language;regular;ngf-okk;Ok;;;;Latn;;
770;bhm;Bathari;Bathari language;regular;sem-sar;Modern South Arabian;;;;Arab,Latn;;
771;bhn;Bohtan Neo-Aramaic;Bohtan Neo-Aramaic language;regular;sem-nna;Northeastern Neo-Aramaic;;;;;;
772;bho;Bhojpuri;Bhojpuri language;regular;inc-hie;Eastern Hindi;;;;Deva,Kthi;;
773;bhp;Bima;Bima language;regular;poz-cet;Central-Eastern Malayo-Polynesian;;;;Latn;;
774;bhq;Tukang Besi South;Tukang Besi South language;regular;poz-mun;Muna-Buton;;;;Latn;;
775;bhs;Buwal;Buwal language;regular;cdc-cbm;Central Chadic;;;;Latn;;
776;bht;Bhattiyali;Bhattiyali language;regular;him;Western Pahari;;;;Deva;;
777;bhu;Bhunjia;Bhunjia language;regular;inc-eas;Eastern Indo-Aryan;;;;Deva,Orya;;
778;bhv;Bahau;Bahau language;regular;poz;Malayo-Polynesian;;;;Latn;;
779;bhw;Biak;Biak language;regular;poz-hce;Halmahera-Cenderawasih;;;;Latn;;
780;bhx;Bhalay;Bhalay language;regular;inc;Indo-Aryan;;;;;Bhalay-Gowlan;
781;bhy;Bhele;Bhele language;regular;bnt-kbi;Komo-Bira;;;;Latn;Ebhele,Piri,Kipiri;
782;bhz;Bada;Bada language;regular;poz-kal;Kaili-Pamona;;;;Latn;;
783;bi;Bislama;Bislama language;regular;crp;creole or pidgin;;;;Latn;;
784;bia;Badimaya;Badimaya language;regular;aus-psw;Southwest Pama-Nyungan;;;;Latn;;
785;bib;Bissa;Bissa language;regular;dmn-bbu;Bisa-Busa;;;;Latn;;
786;bic;Bikaru;Bikaru language;regular;paa-eng;Engan;;;;Latn;;
787;bid;Bidiyo;Bidiyo language;regular;cdc-est;East Chadic;;;;Latn;;
788;bie;Bepour;Bepour language;regular;ngf-mad;Madang;;;;Latn;;
789;bif;Biafada;Biafada language;regular;alv-ten;Tenda;;;;Latn;;
790;big;Biangai;Biangai language;regular;paa;Papuan;;;;Latn;;
791;bij;Kwanka;Kwanka language;regular;nic-tar;Tarokoid;;;;Latn;Kwang,Vaghat-Ya-Bijim-Legeri,Vaghat,Ya,Bijim,Legeri;
792;bil;Bile;Bile language;regular;nic-jrn;Jarawan;;;;Latn;;
